run,step,segment,policy_mae,stay_mae,reanchored_mae,disp_mae,corr,hi_capture_ratio,hi_dir_cos,hi_motion_rad,n_hi
clean(plateaued baseline),2000,left_arm_joint_pos,0.1015,0.0645,0.0791,0.0509,0.995,,,,
clean(plateaued baseline),2000,left_hand_joint_pos,0.0289,0.0233,0.0267,0.0267,0.9926,,,,
clean(plateaued baseline),2000,right_arm_joint_pos,0.1272,0.0939,0.0989,0.0395,0.994,,,,
clean(plateaued baseline),2000,right_hand_joint_pos,0.0483,0.033,0.0463,0.0463,0.9889,,,,
clean(plateaued baseline),3000,left_arm_joint_pos,0.094,0.0645,,,0.9952,,,,
clean(plateaued baseline),3000,left_arm_joint_pos,0.094,0.0645,0.0712,0.0405,0.9952,,,,
clean(plateaued baseline),3000,left_hand_joint_pos,0.0279,0.0233,,,0.9925,,,,
clean(plateaued baseline),3000,left_hand_joint_pos,0.0279,0.0233,0.0273,0.0273,0.9925,,,,
clean(plateaued baseline),3000,right_arm_joint_pos,0.1158,0.0939,,,0.9936,,,,
clean(plateaued baseline),3000,right_arm_joint_pos,0.1158,0.0939,0.0929,0.0384,0.9936,,,,
clean(plateaued baseline),3000,right_hand_joint_pos,0.0485,0.033,,,0.9893,,,,
clean(plateaued baseline),3000,right_hand_joint_pos,0.0485,0.033,0.0453,0.0453,0.9893,,,,
clean(plateaued baseline),4000,left_arm_joint_pos,0.1122,0.0645,0.0711,0.0409,0.994,,,,
clean(plateaued baseline),4000,left_hand_joint_pos,0.0285,0.0233,0.0269,0.0269,0.9923,,,,
clean(plateaued baseline),4000,right_arm_joint_pos,0.1142,0.0939,0.0983,0.0436,0.9942,,,,
clean(plateaued baseline),4000,right_hand_joint_pos,0.0554,0.033,0.0457,0.0457,0.9873,,,,
clean(plateaued baseline),5000,left_arm_joint_pos,0.0966,0.0645,0.0749,0.0417,0.9948,,,,
clean(plateaued baseline),5000,left_hand_joint_pos,0.0277,0.0233,0.0282,0.0282,0.9928,,,,
clean(plateaued baseline),5000,right_arm_joint_pos,0.1079,0.0939,0.0939,0.0378,0.9941,,,,
clean(plateaued baseline),5000,right_hand_joint_pos,0.0503,0.033,0.0471,0.0471,0.9889,,,,
motion_v1,500,left_arm_joint_pos,0.1082,0.0574,0.0599,0.0285,0.9955,0.4679,0.0132,0.1384,39
motion_v1,500,left_hand_joint_pos,0.0409,0.0361,0.0394,0.0394,0.9877,0.1278,0.105,0.4617,39
motion_v1,500,right_arm_joint_pos,0.1194,0.0828,0.0833,0.0328,0.992,0.6631,0.3486,0.1469,39
motion_v1,500,right_hand_joint_pos,0.0441,0.0296,0.0415,0.0415,0.9899,0.4586,0.1497,0.3867,39
motion_v1,1000,left_arm_joint_pos,0.0817,0.0574,0.0583,0.0246,0.997,0.4066,0.1982,0.1384,39
motion_v1,1000,left_hand_joint_pos,0.0407,0.0361,0.0393,0.0393,0.9877,0.1137,0.0734,0.4617,39
motion_v1,1000,right_arm_joint_pos,0.1075,0.0828,0.0847,0.0341,0.9941,0.7894,0.3858,0.1469,39
motion_v1,1000,right_hand_joint_pos,0.0478,0.0296,0.0471,0.0471,0.9892,0.5836,0.1287,0.3867,39
motion_v1,1500,left_arm_joint_pos,0.0717,0.0574,0.0582,0.0237,0.9972,0.3581,0.0669,0.1384,39
motion_v1,1500,left_hand_joint_pos,0.0399,0.0361,0.0389,0.0389,0.9878,0.1216,0.091,0.4617,39
motion_v1,1500,right_arm_joint_pos,0.1121,0.0828,0.0837,0.0332,0.9933,0.7567,0.432,0.1469,39
motion_v1,1500,right_hand_joint_pos,0.0474,0.0296,0.047,0.047,0.9881,0.6345,0.1427,0.3867,39
motion_v2_handspush,500,left_arm_joint_pos,0.0911,0.0574,0.0586,0.0254,0.9966,0.4071,0.0562,0.1384,39
motion_v2_handspush,500,left_hand_joint_pos,0.0427,0.0361,0.0401,0.0401,0.9874,0.1421,0.0764,0.4617,39
motion_v2_handspush,500,right_arm_joint_pos,0.1069,0.0828,0.0845,0.0338,0.9943,0.7328,0.3881,0.1469,39
motion_v2_handspush,500,right_hand_joint_pos,0.0483,0.0296,0.0448,0.0448,0.9886,0.491,0.1553,0.3867,39
varnorm,1000,left_arm_joint_pos,0.101,0.0574,0.0679,0.0446,0.9947,0.957,0.0162,0.1384,39
varnorm,1000,left_hand_joint_pos,0.0442,0.0361,0.0416,0.0416,0.9875,0.1692,0.0807,0.4617,39
